   energy  Pt-5d_up  Pt-5d_down  Propane_up  Propane_down
 -5.33166   0.12420    -0.12137     0.65270      -0.65572
 -5.30663   0.11897    -0.11695     0.50649      -0.51350
 -5.28160   0.11171    -0.11042     0.37520      -0.38276
 -5.25657   0.10468    -0.10384     0.27442      -0.28047
 -5.23154   0.09994    -0.09920     0.20978      -0.21343
 -5.20651   0.09873    -0.09776     0.17789      -0.17934
 -5.18148   0.10115    -0.09981     0.16897      -0.16915
 -5.15645   0.10635    -0.10467     0.17047      -0.17052
 -5.13141   0.11263    -0.11083     0.17115      -0.17210
 -5.10638   0.11786    -0.11621     0.16445      -0.16669
 -5.08135   0.11998    -0.11869     0.14947      -0.15289
 -5.05632   0.11777    -0.11691     0.12930      -0.13324
 -5.03129   0.11137    -0.11082     0.10817      -0.11193
 -5.00626   0.10234    -0.10187     0.08922      -0.09218
 -4.98123   0.09312    -0.09243     0.07385      -0.07575
 -4.95620   0.08603    -0.08498     0.06231      -0.06316
 -4.93116   0.08266    -0.08116     0.05449      -0.05444
 -4.90613   0.08316    -0.08131     0.05025      -0.04952
 -4.88110   0.08658    -0.08450     0.04932      -0.04812
 -4.85607   0.09122    -0.08902     0.05137      -0.04977
 -4.83104   0.09559    -0.09334     0.05609      -0.05410
 -4.80601   0.09900    -0.09666     0.06372      -0.06131
 -4.78098   0.10197    -0.09940     0.07567      -0.07272
 -4.75594   0.10566    -0.10282     0.09514      -0.09149
 -4.73091   0.11115    -0.10806     0.12872      -0.12420
 -4.70588   0.11851    -0.11536     0.19009      -0.18432
 -4.68085   0.12684    -0.12386     0.30659      -0.29874
 -4.65582   0.13526    -0.13261     0.52563      -0.51411
 -4.63079   0.14432    -0.14188     0.91334      -0.89628
 -4.60576   0.15597    -0.15338     1.53458      -1.51080
 -4.58073   0.17213    -0.16902     2.41261      -2.38343
 -4.55569   0.19217    -0.18833     3.48739      -3.45757
 -4.53066   0.21175    -0.20733     4.60850      -4.58531
 -4.50563   0.22413    -0.21957     5.58822      -5.57816
 -4.48060   0.22383    -0.21963     6.29203      -6.29721
 -4.45557   0.21001    -0.20644     6.69904      -6.71605
 -4.43054   0.18686    -0.18386     6.87632      -6.89874
 -4.40551   0.16118    -0.15847     6.88534      -6.90763
 -4.38048   0.13902    -0.13618     6.70769      -6.72769
 -4.35544   0.12379    -0.12040     6.26409      -6.28228
 -4.33041   0.11639    -0.11218     5.51139      -5.52832
 -4.30538   0.11687    -0.11161     4.52779      -4.54186
 -4.28035   0.12540    -0.11888     3.51062      -3.51841
 -4.25532   0.14234    -0.13428     2.69297      -2.69120
 -4.23029   0.16729    -0.15743     2.24495      -2.23345
 -4.20526   0.19817    -0.18639     2.21879      -2.20256
 -4.18023   0.23085    -0.21742     2.54831      -2.53810
 -4.15519   0.26029    -0.24577     3.08153      -3.09048
 -4.13016   0.28223    -0.26743     3.62614      -3.66334
 -4.10513   0.29536    -0.28088     4.00170      -4.06498
 -4.08010   0.30188    -0.28776     4.09119      -4.16449
 -4.05507   0.30612    -0.29179     3.87417      -3.93294
 -4.03004   0.31191    -0.29645     3.42138      -3.44426
 -4.00501   0.32034    -0.30288     2.85164      -2.83117
 -3.97997   0.32972    -0.30980     2.27602      -2.22163
 -3.95494   0.33778    -0.31544     1.76155      -1.69344
 -3.92991   0.34384    -0.31968     1.32925      -1.26781
 -3.90488   0.34881    -0.32441     0.97502      -0.93223
 -3.87985   0.35280    -0.33118     0.69042      -0.66798
 -3.85482   0.35274    -0.33811     0.47079      -0.46351
 -3.82979   0.34316    -0.33965     0.31220      -0.31314
 -3.80476   0.32008    -0.32946     0.20679      -0.21087
 -3.77972   0.28477    -0.30503     0.14279      -0.14712
 -3.75469   0.24452    -0.27011     0.10724      -0.11055
 -3.72966   0.20941    -0.23328     0.08954      -0.09106
 -3.70463   0.18771    -0.20350     0.08259      -0.08166
 -3.67960   0.18291    -0.18631     0.08204      -0.07805
 -3.65457   0.19358    -0.18253     0.08493      -0.07780
 -3.62954   0.21531    -0.18962     0.08914      -0.07916
 -3.60451   0.24299    -0.20432     0.09314      -0.08102
 -3.57947   0.27237    -0.22469     0.09617      -0.08305
 -3.55444   0.30087    -0.25077     0.09832      -0.08578
 -3.52941   0.32755    -0.28417     0.10054      -0.09038
 -3.50438   0.35283    -0.32676     0.10364      -0.09818
 -3.47935   0.37758    -0.37909     0.10756      -0.10951
 -3.45432   0.40213    -0.43869     0.11098      -0.12322
 -3.42929   0.42556    -0.49927     0.11166      -0.13635
 -3.40426   0.44588    -0.55157     0.10756      -0.14519
 -3.37922   0.46085    -0.58620     0.09803      -0.14660
 -3.35419   0.46884    -0.59693     0.08434      -0.13943
 -3.32916   0.46977    -0.58348     0.06889      -0.12482
 -3.30413   0.46561    -0.55214     0.05437      -0.10569
 -3.27910   0.46072    -0.51412     0.04294      -0.08561
 -3.25407   0.46078    -0.48180     0.03562      -0.06758
 -3.22904   0.47032    -0.46420     0.03245      -0.05342
 -3.20401   0.48998    -0.46337     0.03271      -0.04354
